category,villanet_name,db_name,listing_id,similarity_score,villanet_enabled,images_empty,variant_names,variant_ids
matched_active,"Kings Crown","Kings Crown","68aedf01c7839a001189bd4a",1000,true,,
matched_active,"Lattitude Adjustment","Lattitude Adjustment","68aedeff051dc1001b0c9337",1000,true,,
matched_active,"Marina House","Marina House","68adcaaca8c69b0010f909fb",1000,true,,
matched_active,"Moonflower","Moonflower","68aedf03c7839a001189c155",1000,true,,
matched_active,"Peeps Cottage","Peeps Cottage","68adcaac8a78cc0013d183fc",1000,true,,
matched_active,"Savage Sands Villa","Savage Sands Villa","68adcaada2365d0029c89d92",1000,true,,
matched_active,"Sea Star Villa","Sea Star Villa","68adcaad2a898300489ddf2d",1000,true,,
matched_active,"Sueno De Mar","Sueno De Mar","68aeb1c4ff33340013527483",1000,true,,
matched_active,"Summit Exuma","Summit Exuma","68aeb1c3ff333400135270ac",1000,true,,
matched_active,"Sunnyside","Sunnyside","68aedf036420ea001813a868",1000,true,,
matched_active,"Surf House","Surf House","68aeb1c5ff3334001352785a",1000,true,,
matched_active,"Villa Ana","Villa Ana","68aeb1c29192ef00105b6515",1000,true,,
matched_active,"Villa Exuma","Villa Exuma","68aeb1c371f2ff001221175e",1000,true,,
matched_active,"Above the Clouds 6BR","Above the Clouds 6BR","6760c00ee256a10012202ec8",1000,true,,
matched_active,"Alila 4BR Sandy Lane","Alila 4BR Sandy Lane","63628711e09d2a0061ad51d9",1000,true,,
matched_active,"Blue Waters 5BR","Blue Waters 5BR","66289979d7396b001322fd67",1000,true,,
matched_active,"Calabash","Calabash","67d44f0d4fa0460012229278",1000,true,,
matched_active,"Calliaqua 5BR","Calliaqua 5BR","64c0ea46d8d5430038f826cf",1000,true,,
matched_active,"Elsewhere 10BR","Elsewhere 10BR","64ec72651f3a2300547c0744",1000,true,,
matched_active,"Godings Beach House","Godings Beach House","64f6b51f22b394006b840a5e",1000,true,,
matched_active,"Klairan, Sandy Lane","Klairan, Sandy Lane","64ec7282a8790a0037bccc03",1000,true,,
matched_active,"La Lune","La Lune","64b69db671ed8f005091235c",1000,true,,
matched_active,"Landfall, Sandy Lane","Landfall, Sandy Lane","64f6b52122b394006b840d11",1000,true,,
matched_active,"Landmark House","Landmark House","64e78dc2878c160030c18017",1000,true,,
matched_active,"Landmark House&Cotta","Landmark House&Cotta","64b50033312b950037537c06",1000,true,,
matched_active,"Leamington House 5BR","Leamington House 5BR","67056a8d124e10001201245d",1000,true,,
matched_active,"Mango Bay","Mango Bay","66288e44694087001395aca7",1000,true,,
matched_active,"Moon Dance 6BR","Moon Dance 6BR","64c0077cdc6d2a003830c5b8",1000,true,,
matched_active,"Moon Reach","Moon Reach","64ee153c0dd3fb00513f4d51",1000,true,,
matched_active,"Mullins View 14 4BR","Mullins View 14 4BR","636287d63a18ed005ed0cfd3",1000,true,,
matched_active,"Palms Old Trees 4 3B","Palms Old Trees 4 3B","63628b3c67800400758d52ad",1000,true,,
matched_active,"Sandy Cove PH 501","Sandy Cove PH 501","66340c94bd31bd0049ca1bd9",1000,true,,
matched_active,"Schooner Bay 105","Schooner Bay 105","636289fd867b6f00638fbc7a",1000,true,,
matched_active,"Schooner Bay 106 2BR","Schooner Bay 106 2BR","64c7670fbab5ff005a5d49e6",1000,true,,
matched_active,"Schooner Bay 108","Schooner Bay 108","64c7d07ae00c990042c392c7",1000,true,,
matched_active,"Schooner Bay 201 2BR","Schooner Bay 201 2BR","64c7c41063a758003e14f887",1000,true,,
matched_active,"Schooner Bay 204 2BR","Schooner Bay 204 2BR","64c25a269bf247002edc2012",1000,true,,
matched_active,"St. Helena 8BR","St. Helena 8BR","6362898149afef0054e378be",1000,true,,
matched_active,"The Westerings 6BR","The Westerings 6BR","64ee118617cbea0043cb58bc",1000,true,,
matched_active,"Infinity House 8BR","Infinity House 8BR","664dc7e35b2011001fb9b43a",1000,true,,
matched_active,"RWL - Villa Grove","RWL - Villa Grove","6866612c5d751500131f6d16",1000,true,,
matched_active,"RWL Lime Tree House","RWL Lime Tree House","63ad988907fd27004a84ffa2",1000,true,,
matched_active,"Whitehaven","Whitehaven","65856435e2fe950013e48ade",1000,true,,
matched_active,"Fustic House","Fustic House","63628993ab94160060e7f056",1000,true,,
matched_active,"Clearwater","Clearwater","6362899b49afef0054e3863e",1000,true,,
matched_active,"Waverly One","Waverly One","63628a0c9abeb3005519f64f",1000,true,,
matched_active,"Westhaven","Westhaven","63628a0fcab6e2006af20afa",1000,true,,
matched_active,"Bonavista (4BR)","Bonavista (4BR)","63628987ab94160060e7eb00",1000,true,,
matched_active,"Latitude","Latitude","636289accab6e2006af1e85e",1000,true,,
matched_active,"Mullins Mill 8BR","Mullins Mill 8BR","636289bd49afef0054e394ea",1000,true,,
matched_active,"Todmorden","Todmorden","63628a089abeb3005519f3f5",1000,true,,
